violation_code,violation_description,violation_key
22,"PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED INTERNAL TEMPERATURES OF THE FOLLOWING TIME/TEMPERATURE CONTROL FOR SAFETY FOOD ITEMS INSIDE THE PREP COOLER. HAM 51.4F, VEGAN SAUSAGE 54.3, AND CHEESE 53.6F. MANAGER IMMEDIATELY AND VOLUNTARILY D",16
36,THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL COOLERS. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: INSTRUCTED TO PROPERLY LABEL SOME FOOD STORAGE CONTAINERS IDENTIFIED WITH COMMON NA,17
36,"THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER INSIDE WHITE REFRIGERATOR LOCATED IN REAR GARAGE. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BUILD UP OF BLACK SLIME ON INTE",18
37,FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED OATMEAL AND FLOUR OUT OF THE ORIGINAL CONTAINERS WITHOUT LABELS CONTAINING THE PRODUCT NAME. INSTRUCTED TO LABEL ALL FOODS AND SPICES WITH COMMON NAME THAT ARE OUT OF THE ORIGINAL CONTAIN,19
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: EXTERIOR BACK ENTRANCE DOOR HAS SMALL OPEN GAPS ON BOTTOM AND SIDES OF THE DOOR WHICH ALLOWS FOR PESTS/INSECTS TO ENTER. EXTERIOR DOORS SHALL BE: SELF-CLOSING, SOLID AND TIGHT FITTING, AND LIMITED T",20
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO RODENT PROOF SIDE OF FRONT ENTRANCE DOOR. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER WITH NO PROOF OF FOOD HANDLER TRAINING CERTIFICATE. INSTRUCTED TO",21
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED NO PEST CONTROL LOGBOOK AVAILABLE AT TIME OF INSPECTION. INSTRUCTED MANAGER TO PROVIDE. LOGBOOK SHALL BE AVAILABLE UPON INSPECTION. PRIORITY FOUNDATION 7-38-020(C) CITATION ISSUED | 47. FOO",22
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11 OBSERVED HAND WASHING SINK WITH NO SPLASH GUARD IN COFFEE PREP AREA. INSTRUCTED MANAGER TO INSTALL SPLASH GUARD. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE,",23
40,"PERSONAL CLEANLINESS - Comments: EMPLOYEES MUST WEAR HAIR RESTRAINTS AT ALL TIMES FOOD IS BEING PREPARED AND SERVED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER DAMAGED CEILING TILES IN MEN'S WASHROOM AND FRONT",24
40,PERSONAL CLEANLINESS - Comments: NOTED SOME EMPLOYEES AT THE PREP AREA PREPARING FOOD WITH NO HAIR RESTRAINTS OR PROTECTION. INSTRUCTED TO WEAR HAIR RESTRAINTS OR PROTECTION AT ALL TIMES | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: NOTED SERVIN,25
43,"IN-USE UTENSILS: PROPERLY STORED - Comments: 3-304.12--- NOTED THE COOK'S LINE IN USE UTENSILS IE: KNIVES, BEING IMPROPERLY STORED IN CONTAINERS OF ICE WATER AND CONTAINERS OF WATER UNDER 135F. MUST PROPERLY STORE PROTECTED. | 55. PHYSICAL FACILITIES",26
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 OBSERVED THE DOOR IS CRACKED FOR THE WATER INLET FOR THE FRESH WATER. INSTRUCTED TO REPLACE AND ENSURE WATER INLET IS COVERED PROPERLY. | 49. NON-F",27
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN INTERIOR SURFACES OF DISHMACHINE WITH CALCIUM/LIME BUILD-UP. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DES",28
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED 3 COMPARTMENT SINK WHICH IS SLOW DRAINING. INSTRUCTED MANAGER TO REPAIR. PRIORITY FOUNDATION VIOLATION 7-38-025. CITATION ISSUED.",29
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED MAIN 3-COMPARTMENT SINK IN KITCHEN NOT IN PROPER WORKING ORDER. WHEN WATER DRAINS IN ONE COMPARTMENT, ANOTHER COMPARTMENT FLOODS. INSTRUCTED MANAGER TO SERVICE 3-C",30
49,NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN AND MAINTAIN THE INTERIOR OF THE REFRIGERATOR TO REMOVE SPILLS AND DEBRIS.,31
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED A BUILD UP OF DEBRIS UNDER THE GRILL AND FLAT TOP ON THE HOT COOKING LINE.  INSTRUCTED TO CLEAN AND MAINTAIN AREA.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED",32
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED ICE BLOCKS BUILD UP INSID WALK IN FREEZER. MUST REMOVE ALL ICE BLOCK BUILD UP INSIDE WALK IN FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR LITT",33
53,"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN STAFF TOILET ROOM.  INSTRUCTED TO PROVIDE AND MAINTAIN FOR ALL STAFF TOILET ROOMS.",34
55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS WITH DRIED FOOD DEBRIS AROUND HOT  WATER TANK UNDER COUNTER IN FRONT SERVICE AREA. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comm",35
55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BASE OF WALL NEAR FRONT ENTRANCE AROUND COLUMN WITH OPENINGS AT BASE OF COLUMN. CLOSE AND SEAL OPENINGS TO PREVENT PEST ENTRY.",36
55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STANDING WATER THROUGHOUT BASEMENT FLOOR. INSTRUCTED MANAGER MUST CLEAN/KEEP FLOOR DRY THROUGHOUT BASEMENT. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments",37
DAL_044741,Violation Description - 1,38
DAL_048373,Violation Description - 1,39
DAL_049702,Violation Description - 1,40
DAL_052725,Violation Description - 1,41
DAL_053100,Violation Description - 1,42
DAL_057595,Violation Description - 1,43
DAL_060291,Violation Description - 1,44
DAL_063583,Violation Description - 1,45
DAL_067368,Violation Description - 1,46
DAL_076206,Violation Description - 1,47
DAL_086503,Violation Description - 1,48
DAL_090056,Violation Description - 1,49
DAL_091958,Violation Description - 1,50
DAL_092491,Violation Description - 1,51
DAL_108243,Violation Description - 1,52
DAL_116607,Violation Description - 1,53
DAL_123273,Violation Description - 1,54
DAL_136002,Violation Description - 1,55
DAL_142811,Violation Description - 1,56
DAL_148261,Violation Description - 1,57
DAL_149111,Violation Description - 1,58
DAL_151999,Violation Description - 1,59
DAL_153984,Violation Description - 1,60
DAL_157484,Violation Description - 1,61
DAL_161007,Violation Description - 1,62
DAL_161486,Violation Description - 1,63
DAL_163682,Violation Description - 1,64
DAL_169818,Violation Description - 1,65
DAL_172605,Violation Description - 1,66
DAL_172926,Violation Description - 1,67
DAL_173448,Violation Description - 1,68
DAL_174768,Violation Description - 1,69
DAL_181661,Violation Description - 1,70
DAL_185683,Violation Description - 1,71
DAL_186194,Violation Description - 1,72
DAL_194782,Violation Description - 1,73
DAL_206006,Violation Description - 1,74
DAL_216091,Violation Description - 1,75
DAL_234400,Violation Description - 1,76
DAL_238386,Violation Description - 1,77
DAL_246935,Violation Description - 1,78
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HANDWASHING SIGNAGE AT THE HANDWASHING SINKS IN THE TOILET ROOMS ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN SIGNAGE AT ALL HANDWASHING SINKS ON SITE. | 51.,79
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND HANDWASHING SINK (IN EXPO AREA) AT INADEQUATE HOT WATER TEMPERATURE OF 71.0F. INSTRUCTED MANAGER A HANDWASHING SINK MUST PROVIDE A HOT WATER AT A TEMPERATURE OF AT LEAST 10,80
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND NO HANDWASHING SIGNAGE AT ANY HANDWASHING SINKS. MUST PROVIDE TO ALL HANDWASHING SINKS.,81
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT HANDSINK BEHIND THE BAR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN STORAGE RACKS WITH G,82
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HOT RUNNING WATER AT HANDWASH SINKS IN ROOMS 105 AND 106, ( TEMPERATURE AT 45.0F) INSTRUCTED MANAGER TO PROVIDE HOT WATER AT 100F AT ALL HANDWASHING SINKS. CITATION ISSUED 7-3",83
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDSINK IN GARMAGE PREP AREA MISSING SOAP AND DISPENSER WAS RIPPED OFF WALL. INFORMED PERSON IN CHARGE THAT HAND SOAP MUST BE AVAILABLE AT HANDSINKS AT ALL TIMES. HOTEL,84
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HOT WATER AVAILABLE AT THE HAND SINK IN THE REAR PREP/DISHWASHING AREA. UPON TURNING THE LEFT HANDLE, NO WATER PRESSURE AVAILABLE. HANDLE TURNS WITHOUT ENGAGING OR TU",85
16,"FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED ICE MACHINE A LITTLE DIRTY, INSTRUCTED TO CLEAN.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 35 SMALL RODENT DROPPINGS ON THE PREMISES IN THE FOLLOW",86
23,"PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED READY-TO-EAT, TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (TCS): A VARIETY OF CEVICHE AND COLD SALAD HELD FOR OVER 24 HOURS WITHOUT DISCARD DATE. INSTRUCTED FACILITY TO PROVIDE DISCARD DATE FOR A",87
25,CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments: FOUND NO REMINDER/DISCLOSURE STATEMENTS WRITTEN INSIDE TAKEOUT MENUS/DIGITAL BILLBOARD MENU.PRIORITY FOUNDATION. NO CITATION ISSUED. 7-38-005. MUST PROVIDE. | 39. CONTAMINATION PREVENTED,88
28,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED - Comments: EMPLOYEE PERSONAL BELONGINGS IMPROPERLY STORED. INSTD TO STORE IN DESIGNATED AREA. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: MISSING SPLASHGUA",89
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE VERIFIED BY ALL EMPLOYEES. MUST PROVIDE AND MAINTAIN FOR REVIEW. PRIORITY FOUNDATION VIOLATION.  | 39.",90
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICIES ON SITE.MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND",91
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON PREMISES AT THIS TIME. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-010 | 10. ADEQUATE HANDWASHING SINKS",92
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. ALL EMPLOYEES MUST READ AND SIGN EMPLOYEE HEALTH POLICY IN ACCORDANCE WITH LAW. PRIORITY FOUNDATION.",93
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES.  MANAGEMENT INSTRUCTED TO HAVE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH FOOD HANDLING",94
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: Observed no signed employee health policies on site during inspection for all food employees. Instructed to provide and maintain. Priority Founda",95
36,"THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B): OBSERVED NO VISIBLE THERMOMETER IN WALKIN FREEZER IN REAR STORAGE. INSTRUCTED TO PROVIDE VISIBLE THERMOMETERS IN ALL COLD HOLDING UNITS.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PRO",96
36,THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER IN REACH IN COOLERS FOR MONITORING AMBIENT AIR TEMPERATURES. INSTRUCTED PERSON IN CHARGE TO OBTAIN THERMOMETERS FOR EQUIPMENT AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLE,97
36,THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS CONSPICUOUSLY PLACED BOTH REACH-IN COOLERS LOCATED IN THE REAR PREPARATION AREA. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE THERMOMETERS INSIDE ALL COOLERS AND WALK-IN COOLERS. | 4,98
37,FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: FOOD STORAGE CONTAINERS ARE NOT LABELED. IDENTIFY FOOD STORAGE CONTAINERS WITH COMMONE NAME OF THE FOOD. FACILITY MUST LABEL ALL DRY STORAGE FOOD CONTAINERS.  | 47. FOOD & NON-FOOD CONTACT SURFACE,99
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 15 SMALL LIVE FLIES ON WALL IN REAR PREP AREA (BY THE HANDSINK AND PREP SINK). INSTRUCTED TO REMOVE, CLEAN AND SANITIZE THE AFFECTED AREA. RECOMMEND TO CONTACT LICENSED PEST C",100
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 10 LIVE ROACHES CRAWLING ON FLOOR IN FRONT PREP AREA UNDER HAND WASHING SINK, ON GASKET OR REAR REFRIGRATOR, ON FLOOR UNDER 3-COMPARTMENT SINK, PREP TABLES, ROLLING CARTS, AND SHELVING",101
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: BASEMENT PIPE ABOVE PREP TABLE NOT COVERED/ENCASED. INSTRUCTED MANAGER MUST ENCASE BASEMENT PIPE ABOVE PREP TABLE.  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: NO FOOD",102
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: NOZZLE ON COFFEE DISPENSOR IN NEED OF CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN.",103
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED BOXED FOOD ITEMS BEING STORED ON THE FLOOR IN THE WALK-IN COOLER, FREEZER, AND THROUGHOUT THE REAR PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD",104
43,"IN-USE UTENSILS: PROPERLY STORED - Comments: Knives and scoops in-use kept in stagnate water at prep table. instructed to keep utensils according to health code. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED",105
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FOOD ITEMS STORED IN PLASTIC STORAGE TOTES IN THE REFRIGERATOR AND FREEZER. MANAGEMENT INSTRUCTED TO USE PROPER FOOD GRADE STORAGE BAGS AND CONTAIN",106
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE GASKETS AT THE TWO DOOR PREP COOLER IN THE GRILL AREA (TACOS) WORN; INSTRUCTED TO REPLACE GASKETS AT UNIT. | 55. PHYSICAL FACILITIES INSTALLED,",107
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE STORAGE RACKS INSIDE THE WALK IN COOLER WITH RUST. INSTRUCTED TO REMOVE RUST AND MAINTAIN RUST FREE SURFACES. | 51. PLUMBING INSTALLED; PROPER",108
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN GASKET ON INTERIOR OF 2 DOOR COOLER LOCATED IN BASEMENT PREP AREA. INSTRUCTED T OREPAIR OR REPLACE AND MAINTAIN IN GOOD CONDITION. | 49. NON-F",109
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN GASKETS ON THE INTERIOR OF SMALL REACH-IN COOLER IN THE REAR PREP AREA. INSTRUCTED TO REPAIR AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACE",110
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO CHEMICAL SANITIZING TEST KIT AVAILABLE. INSTRUCTED MANAGER TO PROVIDE TEST KIT FOR PROPER CONCENTRATION IN SANITIZING SOLUTIONS. PRIORITY FOUNDATION 7-38-005 CI",111
49,NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN THE INTERIORS OF THE PREP COOLER AT FRONT PREP AREA. | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED NO HOT RUNNING WATER THROUGHOUT THE PREMISES.HAN,112
49,NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INTERIOR OF THE UP FREEZER IN THE REAR TO REMOVE SPILLS AND/OR DEBRIS.,113
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED BUILD UP ON DOOR HANDLES TO REACH IN AND WALK IN COOLER. INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS AND WALLS IN",114
5,PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOINDATION 7-38-005) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIE,115
51,"PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NOTED NO BACKFLOW PREVENTION DEVICE ON WATERLINE AT COFFEE/TEA STATION. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED CLUTTER AND",116
51,"PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAKY PIPE UNDERNEATH THE 3 COMP SINK (1st COMPARTMENT). MUST REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS DIRTY AROUND",117
51,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO GREASE TRAP OR CATCH BASIN AT 3 COMPARTMENT SINK. INSTRUCTED MANAGER TO INSTALL.,118
51,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED REAR PREP AREA HANDSINK SLOW DRAINING. INSTRUCTED TO REPAIR AND MAINTAIN.  | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED WASH AND RINSE BASIN OF IN USE 3 COMPARTMENT,119
53,"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF-CLOSING DOOR DEVICE ON THE BASEMENT AND 1ST FLOOR WASHROOM DOORS.INSTRUCTED TO INSTALL AND MAINTAIN A SELF-CLOSING DOOR DEVICE ON BOTH WASHROOM DOORS.  | 55. PH",120
